pid,name,brand,url,image,price,price_old,fonasa_price,discount_pct,bioequivalente,disponible_comuna,stock,region,comuna,category_path,captured_at
93545,Serum Eucerin Hyaluron Filler Epigenetic 30 mL,Eucerin,https://www.farmaciasahumada.cl/serum-eucerin-hyaluron-filler-epigenetic-30-ml-93545.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw2fbb5772/images/products/93545/93545.jpg?sw=247&sh=247&sm=fit,35364,64299,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/rostro,2026-07-29T05:58:17.908113+00:00
97818,Darrow Actine Sérum Vitamina C 30 ml,Darrow,https://www.farmaciasahumada.cl/darrow-actine-serum-vitamina-c-30-ml-97818.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dwc57de11c/images/products/97818/97818.jpg?sw=247&sh=247&sm=fit,26999,,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/rostro,2026-07-29T05:58:17.908328+00:00
98193,Isdin Fotoprotector Facial Mist Bruma Facial SPF50,Isdin,https://www.farmaciasahumada.cl/isdin-fotoprotector-facial-mist-bruma-facial-spf50-98193.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw819c957b/images/products/98193/98193.jpg?sw=247&sh=247&sm=fit,17999,,,,False,False,,Antofagasta,Antofagasta,dermocosmetica/proteccion-solar,2026-07-29T05:58:19.706340+00:00
85463,Crema Cerave Hidratante Pote 454 mL,CeraVe,https://www.farmaciasahumada.cl/crema-cerave-hidratante-pote-454-ml-85463.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw4f365653/images/products/85463/85463.jpg?sw=247&sh=247&sm=fit,14139,20199,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/cuerpo,2026-07-29T05:58:20.520982+00:00
79924,EUCERIN Protector Solar Facial Gel Crema Oil Control FPS50+ 50 mL,Eucerin,https://www.farmaciasahumada.cl/eucerin-protector-solar-facial-gel-crema-oil-control-fps50--50-ml-79924.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dwb6c450c1/images/products/79924/79924.jpg?sw=247&sh=247&sm=fit,12160,22109,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/proteccion-solar,2026-07-29T05:58:19.706860+00:00
92197,Protector Solar Isdin Fusion Water Magic FPS 50 50 mL,Isdin,https://www.farmaciasahumada.cl/protector-solar-isdin-fusion-water-magic-fps-50-50-ml-92197.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dwf1572469/images/products/92197/92197.jpg?sw=247&sh=247&sm=fit,15990,23099,,,False,True,,Antofagasta,Antofagasta,belleza/proteccion-solar,2026-07-29T05:58:46.477610+00:00
91373,Serum Isdinceutics Retinal Intense 50 mL,Isdinceutics,https://www.farmaciasahumada.cl/serum-isdinceutics-retinal-intense-50-ml-91373.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dwb3ebb93c/images/products/91373/91373.jpg?sw=247&sh=247&sm=fit,42249,64999,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/rostro,2026-07-29T05:58:17.908454+00:00
93071,Serum La Roche Posay Mela B3 Anti Manchas 30 mL,La Roche Posay,https://www.farmaciasahumada.cl/serum-la-roche-posay-mela-b3-anti-manchas-30-ml-93071.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw6805236d/images/products/93071/93071.jpg?sw=247&sh=247&sm=fit,23765,43209,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/tipos-de-piel,2026-07-29T05:58:23.434386+00:00
85388,Gel Limpieza Cerave Espumoso 473 mL,CeraVe,https://www.farmaciasahumada.cl/gel-limpieza-cerave-espumoso-473-ml-85388.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw12cd04bb/images/products/85388/85388.jpg?sw=247&sh=247&sm=fit,11999,19999,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/rostro,2026-07-29T05:58:17.908585+00:00
92207,Crema La Roche Posay Cicaplast Baume B5+ 100 mL,La Roche Posay,https://www.farmaciasahumada.cl/crema-la-roche-posay-cicaplast-baume-b5--100-ml-92207.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw68e3f307/images/products/92207/92207.jpg?sw=247&sh=247&sm=fit,19999,,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/cuerpo,2026-07-29T05:58:20.521147+00:00
85379,Loción Cerave Hidratante 473 mL,CeraVe,https://www.farmaciasahumada.cl/locion-cerave-hidratante-473-ml-85379.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw2cb396e0/images/products/85379/85379.jpg?sw=247&sh=247&sm=fit,12173,20289,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/cuerpo,2026-07-29T05:58:20.521338+00:00
90165,Crema La Roche Posay Hidratante Toleriane Dermallergo Fluido 40 mL,La Roche Posay,https://www.farmaciasahumada.cl/crema-la-roche-posay-hidratante-toleriane-dermallergo-fluido-40-ml-90165.html,https://www.farmaciasahumada.cl/dw/image/v2/BJVH_PRD/on/demandware.static/-/Sites-ahumada-master-catalog/default/dw48f71c6e/images/products/90165/90165.jpg?sw=247&sh=247&sm=fit,27999,,,,False,True,,Antofagasta,Antofagasta,dermocosmetica/rostro,2026-07-29T05:58:17.908707+00:00
