pid,name,brand,principio_activo,price,price_old,url,image,region,comuna,category_path,bioequivalente,fonasa_price,disponible_comuna,stock,stock_centro,stock_sur,dosis,presentacion,precio_unidad,captured_at
IQM-62afa325fe811a73,ACETAZOLAMIDA 250 MGX 20 COMPRIMIDOS,,Acetazolamida,2600,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,250mg,20 comp,86,2026-07-22T19:49:14.264880+00:00
IQM-d9ae5cef8ccfe9e3,ACICLOVIR 200 MG COMPRIMIDOS (LAB. CHILE),CHILE,Aciclovir,1800,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,200mg,25 comp,72,2026-07-22T19:49:14.264880+00:00
IQM-c9b485a280ea08ec,ACICLOVIR 5% CREMA (LAB. CHILE),CHILE,Aciclovir,710,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,"0,05",15g,47,2026-07-22T19:49:14.264880+00:00
IQM-30572fd1a093b5b7,ALFADOXIN 4 MG X 30 COMP. (CENABAST),CENABAST,Doxazosina,3210,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,4mg,30 comp,107,2026-07-22T19:49:14.264880+00:00
IQM-c79dfb79617dd3de,ALOPURINOL 300 MG X COMPRIMIDO,,mintlab,38,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,300mg,20 comp,38,2026-07-22T19:49:14.264880+00:00
IQM-1435cde820354aee,AMBROXOL 15 MG/ 5 ML (ANDROMACO),ANDROMACO,,550,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,,,5,2026-07-22T19:49:14.264880+00:00
IQM-8369394212190b3e,AMOXICILINA 500 MG SUSPENSION,,Amoxicilina,700,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,500mg/5ml,60ml,11,2026-07-22T19:49:14.264880+00:00
IQM-3036d017a0bd5aa8,APROVEL 300 MG COMPRIMIDOS,,Irbesartan,20250,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,300mg,28 comp,675,2026-07-22T19:49:14.264880+00:00
IQM-b8c18e3a02f97f38,ARRUMAL 30 MG COMPRIMIDOS RECUBIERTOS,,Deflazacort,35900,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,30mg,30 comp,1200,2026-07-22T19:49:14.264880+00:00
IQM-d554886b67d1b994,ARRUMAL 6 MG COMPRIMIDOS RECUBIERTOS,,Deflazacort,18730,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,6mg,40 comp,468,2026-07-22T19:49:14.264880+00:00
IQM-a8c3711a93bbf2d4,ATENOLOL 50 MG UNIDAD,,Atenolol,8,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,50mg,1 comp,8,2026-07-22T19:49:14.264880+00:00
IQM-b76bda17eb2bed23,ATORVASTATINA 10 MG UNIDAD,,Atorvastatina,11,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,True,,False,0,0,0,10mg,1 comp,11,2026-07-22T19:49:14.264880+00:00
IQM-bf77355a75af500c,AZOPT COLIRIO,,,25700,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,,,509,2026-07-22T19:49:14.264880+00:00
IQM-cfb128d8f37fc962,BION ALLERGO MASTICABLE COMPRIMIDOS,,Multivitaminico + probioticos,7650,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,x,30 capsulas,255,2026-07-22T19:49:14.264880+00:00
IQM-e14155be26aa3f57,BRIXIA COLIRIO,,Azelastina Clorhidrato,15100,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,"0,0005",6 ml,6040,2026-07-22T19:49:14.264880+00:00
IQM-c347ae8fbd2c2e1c,CAM JARABE,,Betametasona / Dexclorfenamina Maleato,5450,,https://www.municipioiquique.cl/salud/farmacia-municipal.html,,Tarapaca,Iquique,medicamentos/farmacia-municipal,False,,False,0,0,0,0.25mg / 2.0 mg,120ml,45,2026-07-22T19:49:14.264880+00:00
