sku,nombre,marca,precio_normal,precio_internet,precio_sbpay,precio_fonasa,descuento_internet_pct,url,imagen,categoria_1,categoria_2,categoria_3,tipo_venta,requiere_receta,bioequivalente,retiro_tienda,despacho_domicilio,stock_global,disponible_comuna,region,comuna,capturado_en
430924,Kitadol (B) Paracetamol 500mg 24 Comprimidos,Kitadol,1499,1004,,,33,https://salcobrand.cl/products/kitadol-b-paracetamol-500mg-24-comprimidos?default_sku=430924,https://static.salcobrand.cl/spree/products/169994/small/430924.jpg?1765392896,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",not_drug,False,True,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
430924,Kitadol (B) Paracetamol 500mg 24 Comprimidos,Kitadol,1499,1004,,,33,https://salcobrand.cl/products/kitadol-b-paracetamol-500mg-24-comprimidos?default_sku=430924,https://static.salcobrand.cl/spree/products/169994/small/430924.jpg?1765392896,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",not_drug,False,True,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
430924,Kitadol (B) Paracetamol 500mg 24 Comprimidos,Kitadol,1499,1004,,,33,https://salcobrand.cl/products/kitadol-b-paracetamol-500mg-24-comprimidos?default_sku=430924,https://static.salcobrand.cl/spree/products/169994/small/430924.jpg?1765392896,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",not_drug,False,True,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
2834786,Acotol (B) 28 Comprimidos Recubiertos,Acotol,21399,18831,,,12,https://salcobrand.cl/products/acotol-b-28-comprimidos-recubiertos?default_sku=2834786,https://static.salcobrand.cl/spree/products/102238/small/2834786.jpg?1700488443,Medicamentos,Medicamentos > Anticonceptivos y Hormonas,Medicamentos > Anticonceptivos y Hormonas > Oral,not_drug,False,True,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
2834786,Acotol (B) 28 Comprimidos Recubiertos,Acotol,21399,18831,,,12,https://salcobrand.cl/products/acotol-b-28-comprimidos-recubiertos?default_sku=2834786,https://static.salcobrand.cl/spree/products/102238/small/2834786.jpg?1700488443,Medicamentos,Medicamentos > Anticonceptivos y Hormonas,Medicamentos > Anticonceptivos y Hormonas > Oral,not_drug,False,True,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
2834786,Acotol (B) 28 Comprimidos Recubiertos,Acotol,21399,18831,,,12,https://salcobrand.cl/products/acotol-b-28-comprimidos-recubiertos?default_sku=2834786,https://static.salcobrand.cl/spree/products/102238/small/2834786.jpg?1700488443,Medicamentos,Medicamentos > Anticonceptivos y Hormonas,Medicamentos > Anticonceptivos y Hormonas > Oral,not_drug,False,True,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
582493,Alerxo Forte (B) Fexofenadina 180mg 30 Comprimidos Recubiertos,Alerxo,33399,26319,,,21,https://salcobrand.cl/products/alerxo-forte-b-fexofenadina-180mg-30-comprimidos-recubiertos?default_sku=582493,https://static.salcobrand.cl/spree/products/77926/small/582493.jpg?1660873408,Medicamentos,Medicamentos > Sistema Respiratorio y Alergias,Medicamentos > Sistema Respiratorio y Alergias > Antialérgicos,prescription,True,True,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
582493,Alerxo Forte (B) Fexofenadina 180mg 30 Comprimidos Recubiertos,Alerxo,33399,26319,,,21,https://salcobrand.cl/products/alerxo-forte-b-fexofenadina-180mg-30-comprimidos-recubiertos?default_sku=582493,https://static.salcobrand.cl/spree/products/77926/small/582493.jpg?1660873408,Medicamentos,Medicamentos > Sistema Respiratorio y Alergias,Medicamentos > Sistema Respiratorio y Alergias > Antialérgicos,prescription,True,True,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
582493,Alerxo Forte (B) Fexofenadina 180mg 30 Comprimidos Recubiertos,Alerxo,33399,26319,,,21,https://salcobrand.cl/products/alerxo-forte-b-fexofenadina-180mg-30-comprimidos-recubiertos?default_sku=582493,https://static.salcobrand.cl/spree/products/77926/small/582493.jpg?1660873408,Medicamentos,Medicamentos > Sistema Respiratorio y Alergias,Medicamentos > Sistema Respiratorio y Alergias > Antialérgicos,prescription,True,True,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
340180,Xumadol (B) Paracetamol 1g 20 Comprimidos,Xumadol,11099,7769,,,30,https://salcobrand.cl/products/xumadol-b-paracetamol-1-g-20-comprimidos?default_sku=340180,https://static.salcobrand.cl/spree/products/169992/small/340180.jpg?1765392856,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",normal,False,True,True,True,True,True,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
340180,Xumadol (B) Paracetamol 1g 20 Comprimidos,Xumadol,11099,7769,,,30,https://salcobrand.cl/products/xumadol-b-paracetamol-1-g-20-comprimidos?default_sku=340180,https://static.salcobrand.cl/spree/products/169992/small/340180.jpg?1765392856,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",normal,False,True,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
340180,Xumadol (B) Paracetamol 1g 20 Comprimidos,Xumadol,11099,7769,,,30,https://salcobrand.cl/products/xumadol-b-paracetamol-1-g-20-comprimidos?default_sku=340180,https://static.salcobrand.cl/spree/products/169992/small/340180.jpg?1765392856,Medicamentos,"Medicamentos > Dolor, Fiebre y Antiflamatorios","Medicamentos > Dolor, Fiebre y Antiflamatorios > Analgésico General",normal,False,True,True,True,True,True,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
